molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL320324,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)OC(C)(C)C)C1CCCC1)C(=O)N[C@@H](CC(F)F)C(=O)C(=O)O,380.0,active
CHEMBL113467,CC(C)C[C@H](NC(=O)[C@H](O)c1ccc(Cl)cc1)C(=O)N[C@@H](CC(F)F)C(=O)C(=O)O,13000.0,inactive
CHEMBL420303,CC(C)C[C@H](NC(=O)[C@H](O)C1CCCCC1)C(=O)N[C@@H](CC(F)F)C(=O)C(=O)O,7000.0,intermediate
CHEMBL323980,CC(C)C[C@H](NC(=O)[C@H](O)c1ccc(C(F)(F)F)cc1)C(=O)N[C@@H](CC(F)F)C(=O)C(=O)O,28000.0,inactive
CHEMBL69077,CC(C)C[C@H](NC(=O)[C@H](O)c1ccccc1)C(=O)N[C@@H](CC(F)F)C(=O)C(=O)O,3000.0,intermediate
CHEMBL112053,CC(C)C[C@H](NC(=O)Cn1nc(-c2ccccc2)c2ccccc2c1=O)C(=O)N[C@@H](CC(F)F)C(=O)C(=O)O,200000.0,inactive
CHEMBL113402,CC(C)C[C@H](NC(=O)CC(c1ccccc1)c1ccccc1)C(=O)N[C@@H](CC(F)F)C(=O)C(=O)O,200000.0,inactive
CHEMBL332245,COc1ccc([C@@H](O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(F)F)C(=O)C(=O)O)cc1,13000.0,inactive
CHEMBL115275,COc1ccc(C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(F)F)C(=O)C(=O)O)c(OC)c1OC,200000.0,inactive
CHEMBL115495,COc1ccc(C(Oc2ccccc2)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(F)F)C(=O)C(=O)O)cc1,18000.0,inactive
CHEMBL112557,CC(C)C[C@H](NC(=O)[C@H](O)c1ccccc1Cl)C(=O)N[C@@H](CC(F)F)C(=O)C(=O)O,41000.0,inactive
CHEMBL115621,CC(C)C[C@H](NC(=O)[C@@H](O)c1ccccc1)C(=O)N[C@@H](CC(F)F)C(=O)C(=O)O,100000.0,inactive
CHEMBL420133,CC(C)C[C@H](NC(=O)c1cccc(Oc2ccccc2)c1)C(=O)N[C@@H](CC(F)F)C(=O)C(=O)O,200000.0,inactive
CHEMBL115359,CC(C)C[C@H](NC(=O)C(Cc1ccccc1)c1ccccc1)C(=O)N[C@@H](CC(F)F)C(=O)C(=O)O,30000.0,inactive
CHEMBL114125,CC(C)C[C@H](NC(=O)[C@H](O)c1cccs1)C(=O)N[C@@H](CC(F)F)C(=O)C(=O)O,18000.0,inactive
CHEMBL112067,CC(C)C[C@H](NC(=O)Cn1c(-c2ccccc2)nc2ccccc21)C(=O)N[C@@H](CC(F)F)C(=O)C(=O)O,200000.0,inactive
CHEMBL112992,CC(C)C[C@H](NC(=O)C(Sc1ccccc1)c1ccccc1)C(=O)N[C@@H](CC(F)F)C(=O)C(=O)O,7000.0,intermediate
CHEMBL405033,COc1cccc(CNC(=O)C(=O)[C@@H](CC(F)(F)F)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)[C@H](Cc2ccccc2C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)CCC(=O)O)C(C)(C)C)c1,6.0,active
CHEMBL412493,CC[C@H](NC(=O)C(=O)[C@@H](CC(F)(F)F)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)[C@H](Cc1ccccc1C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)CCC(=O)O)C(C)(C)C)c1ccc2ccccc2c1,8.0,active
CHEMBL120084,Cc1ccccc1C[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)CCC(=O)O)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](N)C(=O)C(N)=O)C(C)(C)C,7.0,active
CHEMBL427986,Cc1ccccc1C[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)CCC(=O)O)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CC(F)(F)F)C(=O)C(=O)N[C@@H](C)c1ccc2ccccc2c1)C(C)(C)C,4.0,active
CHEMBL262654,Cc1ccccc1C[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)CCC(=O)O)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CC(F)(F)F)C(=O)C(=O)NCc1ccccc1)C(C)(C)C,4.0,active
CHEMBL269187,Cc1ccccc1C[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)CCC(=O)O)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CC(F)(F)F)C(=O)C(=O)N[C@H](c1ccccc1)C(C)C)C(C)(C)C,7.0,active
CHEMBL331243,CCCC[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)[C@H](Cc1ccccc1C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)CCC(=O)O)C(C)(C)C)C(=O)C(N)=O,11.0,active
CHEMBL405304,CC[C@H](NC(=O)C(=O)[C@@H](CC(F)(F)F)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)[C@H](Cc1ccccc1C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)CCC(=O)O)C(C)(C)C)c1ccccc1,7.0,active
CHEMBL414922,Cc1ccccc1C[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)CCC(=O)O)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CC(F)(F)F)C(=O)C(=O)N[C@H](C)c1ccccc1)C(C)(C)C,1100.0,intermediate
CHEMBL263772,Cc1ccccc1C[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)CCC(=O)O)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CC(F)(F)F)C(=O)C(=O)N[C@@H](C)c1ccccc1)C(C)(C)C,4.0,active
CHEMBL261963,Cc1ccccc1C[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)CCC(=O)O)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CC(F)(F)F)C(=O)C(=O)NCc1ccc(O)cc1)C(C)(C)C,4.0,active
CHEMBL297884,COc1ccc2c(O[C@@H]3C[C@H]4C(=O)N[C@]5(C(=O)O)C[C@H]5/C=C\CCCCC[C@H](NC(=O)OC5CCCC5)C(=O)N4C3)cc(-c3csc(NC(C)C)n3)nc2c1,0.8,active
CHEMBL3326536,COc1ccc2c(OC[C@@H]3C[C@H]4C(=O)N[C@@]5(C(=O)NS(=O)(=O)C6CC6)C[C@@H]5/C=C\CCCCN(C)C(=O)N34)cc(-c3ccccc3)nc2c1,2400.0,intermediate
CHEMBL3326537,COc1ccc2c(OC[C@H]3C[C@@H]4C(=O)N[C@@]5(C(=O)NS(=O)(=O)C6CC6)C[C@@H]5/C=C\CCCCN(C)C(=O)N34)cc(-c3ccccc3)nc2c1,278.0,active
